0.00000000	1.00000000	0.000000000	1.000498008
0.12195122	1.024900398	0.162601626	1.006474104
0.162601626	1.03436255	0.325203252	1.014940239
0.203252033	1.040836653	0.447154472	1.022908367
0.243902439	1.047808765	0.528455285	1.031374502
0.243902439	1.053784861	0.650406504	1.038844622
0.284552846	1.060258964	0.731707317	1.049302789
0.284552846	1.067729084	0.81300813	1.058266932
0.365853659	1.080677291	0.894308943	1.067231076
0.406504065	1.091633466	0.975609756	1.075199203
0.487804878	1.102589641	1.016260163	1.083665339
0.528455285	1.112051793	1.097560976	1.092131474
0.569105691	1.121513944	1.178861789	1.102091633
0.609756098	1.131474104	1.260162602	1.111553785
0.650406504	1.141932271	1.382113821	1.12001992
0.691056911	1.150398406	1.504065041	1.129482072
0.731707317	1.15936255	1.62601626	1.140438247
0.772357724	1.167828685	1.788617886	1.14940239
0.81300813	1.176294821	1.951219512	1.158366534
0.894308943	1.185756972	2.113821138	1.165836653
0.93495935	1.195219124	2.276422764	1.172310757
0.975609756	1.202191235	2.479674797	1.178784861
1.016260163	1.210657371	2.682926829	1.184262948
1.585365854	1.210657371	2.886178862	1.18874502
2.154471545	1.210657371	3.170731707	1.1937251
2.682926829	1.210657371	3.536585366	1.199203187
3.170731707	1.210657371	3.902439024	1.202191235
3.739837398	1.210657371	4.390243902	1.205179283
4.512195122	1.210657371	4.87804878	1.207171315
5.203252033	1.210657371	5.365853659	1.208167331
5.772357724	1.210657371	5.93495935	1.209163347
6.544715447	1.210657371	6.62601626	1.209661355
7.113821138	1.210657371	7.154471545	1.210159363
7.723577236	1.210657371	7.56097561	1.210657371
8.495934959	1.210657371	8.170731707	1.210657371
9.06504065	1.210657371	8.861788618	1.210657371
9.87804878	1.210657371	9.512195122	1.210657371
10.56910569	1.210657371	10.28455285	1.210657371
11.30081301	1.210657371	10.93495935	1.210657371
11.8699187	1.210657371	11.54471545	1.210657371
12.5203252	1.210657371	12.23577236	1.210657371
13.33333333	1.210657371	13.00813008	1.210657371
13.98373984	1.210657371	13.65853659	1.210657371
14.79674797	1.210657371	14.30894309	1.210657371
15.44715447	1.210657371	14.91869919	1.210657371
16.09756098	1.210657371	15.69105691	1.210657371
16.91056911	1.210657371	16.30081301	1.210657371
17.4796748	1.210657371	17.15447154	1.210657371
18.1300813	1.210657371	17.88617886	1.210657371
18.7398374	1.210657371	18.61788618	1.210657371
19.3902439	1.210657371	19.3902439	1.210657371
20.16260163	1.210657371	20.28455285	1.210657371
20.97560976	1.210657371	20.97560976	1.210657371
